"Qu'est ce qu'un bilan carbone?","Le Bilan Carbone est un outil de diagnostic conçu par l'Agence de l'environnement et de la maîtrise de l'énergie pour comprendre et analyser l'activité humaine en matière d'émissions de gaz à effet de serre."
"Quelle est l'empreinte carbone moyenne des Francais ?","En moyenne les Francais ont une empreinte carbone de 12092 kg/an"
"Qu'est ce qui a la pire empreinte carbone ?","Les voitures en France ont la pire empreinte carbone avec 1972 kg/an"
"Quels sont les pires secteur en terme d'empreinte carbone ?","le top 3 de consommation:\n-les voitures: 1972 kg/an\n\n-energies et utilités: 1696 kg/an\n-Services Publics Santé: 1489 kg/an"
"Quelle est l'empreinte carbone des transport en France ?","2920 kg/an"
"Quelle est l'empreinte carbone des logements en France ?","2706 kg/an"
"Quelle est l'empreinte carbone des biens de consommation en France ?","2625 kg/an"
"Quelle est l'empreinte carbone de l'alimentation en France ?","2353 kg/an"
"Quelle est l'empreinte carbone des services publics et de santé en France?","1489 kg/an"
"Comment réduire mon empreinte carbone ?","De petits gestes au quotidien suffisent à réduire son empreinte : préférer le vélo ou les transports en commun, éteindre vos appareils électroniques la nuit, trier vos déchets, préférer la viande blanche à la viande rouge..."
"Pourquoi la viande rouge produit-elle autant de CO2 ?","Les animaux produisant de la viande rouge, tels que le bœuf, demande de grandes quantités d'eau et de nourriture pour se développer et rester en forme. Bien plus que la volaille par exemple."
"Quel est le meilleur moyen de se chauffer ?","Selon un rapport de l'Ademe de 2018, pour une même quantité d'énergie, une chaudière au fioul produit jusqu'à 10 fois plus de CO2 qu'une chaudière à bois !\nC'est pour cela qu'il vaut mieux privilégier les pompes à chaleur, les chaudières à bois ou éventuellement des radiateurs électriques modernes."
"Pourquoi utiliser un ordinateur émet-il du CO2 ?","Utiliser votre ordinateur ou votre smartphone consomme en moyenne entre 30 et 60 grammes de CO2 par heure. Il s'agit de produire l'électricité pour l'alimenter, mais aussi de gérer la connexion internet, les datacenters utilisés, les serveurs de stockage, et bien plus encore !"
"C'est quoi CarbonScore ?","Le CarbonScore est un indicateur de mesure synthétique, individuel et personnalisé pour suivre vos émissions de CO2 liées aux usages digitaux en entreprise et réduire votre bilan Carbone numérique.\n\nPlus d'informations sur notre site web : https://carbonscore.fr"
"Comment reconnaitre un bon appareil électroménager ?","Le gouvernement français a mis en place une étiquette spéciale pour mieux vous y retrouver : l'étiquette énergie.\nElle vous permet d'évaluer en un coup d'œil la consommation électrique d'un appareil électroménager.\n\nPlus d'informations : https://www.economie.gouv.fr/particuliers/etiquette-energie-electromenager"
"Pourquoi trier mes déchets est-il si important ?","Il est important de trier vos déchets dans les bonnes poubelles parce que leur traitement en déchetterie n'est pas du tout le même, et le tri dans les centres spécialisés est très coûteux !\nDe plus, recycler l'aluminium ou le plastique permet d'économiser l'énergie nécessaire à leur production à partir de matière vierge."